KindOfOperation,KindOfSpace,RoomsAmount,LocationRating,Size,Price,Standard,Floor,City,UserRoomsAmount,UserPrice,UserStandard,UserLocationRating,IsGoodOfert
K,M,4.00,5.00,88.00,473088.00,5.00,3.00,Poznañ,2.00,532224.00,1.00,0.00,1
K,M,3.00,2.00,66.00,239500.80,5.00,5.00,Gdañsk,2.00,249480.00,0.00,1.00,1
K,M,4.00,2.00,84.00,132088.32,3.00,3.00,Bia³ystok,1.00,215744.26,2.00,1.00,1
W,M,3.00,4.00,66.00,7983.36,2.00,7.00,Wroc³aw,0.00,10644.48,0.00,1.00,1
W,M,1.00,5.00,23.00,1545.60,4.00,7.00,Szczecin,0.00,2318.40,2.00,4.00,1
W,M,2.00,5.00,44.00,6652.80,3.00,10.00,Szczecin,0.00,8870.40,1.00,3.00,1
K,M,3.00,4.00,66.00,299376.00,5.00,10.00,Wroc³aw,2.00,389188.80,1.00,2.00,1
W,M,2.00,4.00,36.00,4838.40,5.00,10.00,Warszawa,1.00,7257.60,4.00,0.00,1
W,M,5.00,4.00,95.00,47880.00,5.00,2.00,Lublin,0.00,63840.00,4.00,3.00,1
K,M,4.00,4.00,88.00,567705.60,4.00,7.00,Warszawa,2.00,586629.12,3.00,2.00,1
W,M,1.00,1.00,24.00,483.84,4.00,3.00,Kraków,0.00,645.12,1.00,0.00,1
W,M,3.00,2.00,63.00,3810.24,2.00,5.00,Gdañsk,0.00,5080.32,0.00,0.00,1
K,M,2.00,5.00,38.00,95760.00,5.00,4.00,Szczecin,1.00,140448.00,4.00,3.00,1
W,M,5.00,2.00,100.00,20160.00,4.00,10.00,Bydgoszcz,3.00,26880.00,3.00,1.00,1
K,M,5.00,5.00,90.00,859950.00,5.00,3.00,Bia³ystok,1.00,1105650.00,0.00,0.00,1
K,M,5.00,5.00,110.00,1025640.00,4.00,1.00,Gdañsk,1.00,1081080.00,2.00,0.00,1
W,M,4.00,3.00,76.00,18385.92,4.00,1.00,Gdañsk,3.00,24514.56,3.00,0.00,1
W,M,4.00,3.00,80.00,16128.00,5.00,2.00,Bydgoszcz,0.00,32256.00,4.00,0.00,1
W,M,2.00,1.00,40.00,2016.00,5.00,9.00,Bydgoszcz,0.00,2688.00,1.00,0.00,1
K,M,5.00,4.00,100.00,215040.00,1.00,3.00,Warszawa,1.00,268800.00,0.00,3.00,1
K,M,3.00,4.00,60.00,134265.60,3.00,9.00,£ódŸ,1.00,137894.40,0.00,2.00,1
W,M,3.00,2.00,66.00,1330.56,1.00,6.00,Warszawa,1.00,2661.12,0.00,0.00,1
K,M,5.00,3.00,100.00,383292.00,3.00,8.00,Bia³ystok,4.00,402948.00,1.00,1.00,1
K,M,4.00,2.00,88.00,361320.96,5.00,6.00,Bia³ystok,3.00,376696.32,4.00,1.00,1
W,M,4.00,5.00,72.00,21772.80,3.00,2.00,Bia³ystok,3.00,29030.40,1.00,4.00,1
W,M,4.00,4.00,76.00,16343.04,4.00,3.00,Wroc³aw,1.00,32686.08,2.00,2.00,1
W,M,2.00,4.00,36.00,4838.40,5.00,5.00,Kraków,0.00,9676.80,0.00,0.00,1
K,M,4.00,5.00,88.00,1182720.00,5.00,7.00,Warszawa,1.00,1419264.00,1.00,4.00,1
K,M,4.00,2.00,80.00,167731.20,4.00,0.00,£ódŸ,3.00,184934.40,0.00,1.00,1
W,M,2.00,3.00,36.00,3628.80,5.00,1.00,Gdañsk,0.00,7257.60,0.00,1.00,1
K,M,5.00,2.00,110.00,295680.00,4.00,6.00,£ódŸ,4.00,303072.00,1.00,0.00,1
K,M,3.00,4.00,60.00,193536.00,5.00,8.00,Poznañ,0.00,235872.00,0.00,1.00,1
K,M,5.00,5.00,95.00,510720.00,4.00,5.00,£ódŸ,2.00,590520.00,0.00,1.00,1
K,M,4.00,3.00,80.00,109670.40,2.00,5.00,Szczecin,1.00,112896.00,0.00,2.00,1
W,M,4.00,1.00,72.00,4354.56,3.00,4.00,Kraków,1.00,5806.08,1.00,0.00,1
K,M,5.00,1.00,100.00,214200.00,5.00,5.00,Gdañsk,3.00,283500.00,4.00,0.00,1
K,M,5.00,5.00,100.00,924000.00,5.00,5.00,Poznañ,1.00,966000.00,4.00,1.00,1
K,M,5.00,5.00,90.00,272160.00,2.00,9.00,Szczecin,4.00,355320.00,0.00,0.00,1
W,M,4.00,5.00,76.00,20428.80,4.00,6.00,Gdañsk,2.00,30643.20,1.00,0.00,1
W,M,5.00,2.00,110.00,7392.00,2.00,10.00,Bia³ystok,1.00,11088.00,0.00,1.00,1
K,M,5.00,3.00,110.00,345945.60,2.00,6.00,Bia³ystok,1.00,360360.00,1.00,0.00,1
K,M,2.00,2.00,40.00,12096.00,1.00,9.00,Bydgoszcz,0.00,13171.20,0.00,1.00,1
W,M,3.00,3.00,60.00,5443.20,2.00,0.00,Bia³ystok,1.00,7257.60,0.00,2.00,1
K,M,5.00,4.00,95.00,225036.00,1.00,3.00,Kraków,1.00,239400.00,0.00,0.00,1
W,M,5.00,4.00,100.00,13440.00,2.00,6.00,Szczecin,3.00,26880.00,0.00,2.00,1
K,M,4.00,4.00,72.00,449971.20,5.00,2.00,Gdañsk,1.00,508032.00,2.00,2.00,1
K,M,5.00,2.00,105.00,155232.00,1.00,10.00,Warszawa,0.00,176400.00,0.00,0.00,1
W,M,5.00,2.00,95.00,23940.00,5.00,4.00,Kraków,0.00,31920.00,2.00,0.00,1
K,M,3.00,4.00,54.00,127370.88,2.00,9.00,Bia³ystok,0.00,130201.34,1.00,3.00,1
K,M,5.00,4.00,110.00,547008.00,2.00,10.00,Warszawa,1.00,606144.00,0.00,2.00,1
W,M,3.00,5.00,60.00,6048.00,2.00,8.00,Kraków,1.00,12096.00,0.00,4.00,1
K,M,2.00,4.00,36.00,16450.56,1.00,8.00,£ódŸ,1.00,18385.92,0.00,2.00,1
K,M,5.00,4.00,90.00,544320.00,5.00,2.00,Lublin,1.00,559440.00,1.00,1.00,1
W,M,4.00,2.00,76.00,6128.64,3.00,5.00,£ódŸ,0.00,9192.96,2.00,0.00,1
K,M,2.00,3.00,38.00,59371.20,5.00,4.00,Szczecin,1.00,65116.80,0.00,0.00,1
K,M,2.00,5.00,40.00,100800.00,5.00,6.00,Poznañ,1.00,134400.00,2.00,4.00,1
W,M,5.00,5.00,90.00,34020.00,3.00,9.00,Bydgoszcz,0.00,45360.00,1.00,3.00,1
K,M,5.00,5.00,105.00,546840.00,4.00,7.00,Bydgoszcz,4.00,829080.00,0.00,4.00,1
K,M,3.00,4.00,57.00,234420.48,4.00,7.00,Wroc³aw,2.00,268894.08,1.00,3.00,1
W,M,5.00,4.00,110.00,29568.00,4.00,0.00,Lublin,4.00,44352.00,0.00,3.00,1
K,M,4.00,5.00,72.00,754790.40,4.00,8.00,Warszawa,3.00,774144.00,0.00,4.00,1
W,M,5.00,5.00,100.00,25200.00,3.00,6.00,Gdañsk,0.00,37800.00,0.00,1.00,1
K,M,3.00,5.00,60.00,266112.00,4.00,1.00,Poznañ,0.00,272160.00,2.00,1.00,1
W,M,3.00,1.00,60.00,1814.40,2.00,4.00,Bia³ystok,0.00,2419.20,1.00,0.00,1
W,M,2.00,4.00,40.00,1612.80,1.00,10.00,Gdañsk,0.00,2150.40,0.00,2.00,1
K,M,5.00,2.00,90.00,234360.00,5.00,4.00,Bydgoszcz,0.00,302400.00,2.00,0.00,1
W,M,1.00,4.00,25.00,2016.00,4.00,3.00,Bia³ystok,0.00,2688.00,0.00,1.00,1
W,M,5.00,2.00,110.00,7392.00,2.00,0.00,Kraków,0.00,14784.00,0.00,0.00,1
K,M,3.00,5.00,60.00,123984.00,2.00,2.00,Szczecin,0.00,136080.00,1.00,1.00,1
W,M,5.00,5.00,90.00,34020.00,3.00,1.00,Kraków,4.00,45360.00,1.00,0.00,1
W,M,4.00,5.00,76.00,15321.60,2.00,3.00,Gdañsk,2.00,20428.80,0.00,3.00,1
K,M,5.00,1.00,105.00,171990.00,5.00,3.00,Lublin,1.00,207270.00,2.00,0.00,1
K,M,3.00,3.00,54.00,186157.44,4.00,0.00,Gdañsk,0.00,225348.48,2.00,1.00,1
W,M,5.00,5.00,95.00,23940.00,3.00,7.00,Wroc³aw,4.00,47880.00,2.00,4.00,1
K,M,5.00,5.00,110.00,942480.00,4.00,3.00,Gdañsk,2.00,1025640.00,3.00,0.00,1
W,M,5.00,4.00,110.00,36960.00,5.00,2.00,£ódŸ,2.00,73920.00,3.00,1.00,1
W,M,3.00,5.00,57.00,17236.80,4.00,1.00,Szczecin,0.00,22982.40,3.00,1.00,1
W,M,4.00,3.00,88.00,10644.48,2.00,5.00,Warszawa,2.00,14192.64,0.00,0.00,1
W,M,4.00,5.00,88.00,29568.00,5.00,10.00,Lublin,3.00,44352.00,1.00,4.00,1
K,M,4.00,4.00,76.00,214502.40,3.00,3.00,£ódŸ,0.00,300303.36,1.00,2.00,1
W,M,1.00,5.00,25.00,1260.00,3.00,0.00,Gdañsk,0.00,2520.00,2.00,2.00,1
W,M,4.00,3.00,80.00,12902.40,4.00,4.00,Bydgoszcz,1.00,19353.60,0.00,2.00,1
K,M,5.00,5.00,100.00,756000.00,4.00,10.00,Kraków,2.00,1058400.00,2.00,1.00,1
W,M,3.00,4.00,63.00,7620.48,2.00,7.00,Wroc³aw,0.00,10160.64,0.00,1.00,1
W,M,4.00,3.00,80.00,12902.40,4.00,4.00,Bia³ystok,3.00,25804.80,2.00,1.00,1
K,M,4.00,5.00,76.00,291110.40,3.00,2.00,£ódŸ,3.00,329414.40,0.00,4.00,1
W,M,5.00,4.00,105.00,35280.00,5.00,8.00,Bydgoszcz,0.00,52920.00,4.00,2.00,1
K,M,4.00,4.00,84.00,171601.92,2.00,9.00,Szczecin,3.00,225792.00,0.00,2.00,1
K,M,3.00,4.00,57.00,106868.16,2.00,0.00,Gdañsk,2.00,130999.68,1.00,2.00,1
K,M,5.00,3.00,110.00,374220.00,3.00,4.00,Kraków,4.00,586278.00,2.00,0.00,1
K,M,3.00,5.00,66.00,185945.76,2.00,10.00,Bia³ystok,0.00,194594.40,1.00,3.00,1
K,M,3.00,2.00,63.00,83825.28,4.00,0.00,Szczecin,0.00,88905.60,3.00,1.00,1
K,M,5.00,4.00,105.00,437472.00,2.00,8.00,Warszawa,0.00,564480.00,1.00,2.00,1
K,M,4.00,4.00,84.00,650280.96,4.00,8.00,Warszawa,0.00,830914.56,0.00,3.00,1
W,M,4.00,5.00,76.00,30643.20,4.00,6.00,Bia³ystok,1.00,40857.60,1.00,2.00,1
K,M,5.00,3.00,110.00,471240.00,5.00,2.00,Szczecin,2.00,665280.00,0.00,1.00,1
K,M,3.00,5.00,63.00,214326.00,3.00,4.00,Kraków,2.00,300056.40,0.00,0.00,1
K,M,3.00,5.00,54.00,326592.00,5.00,0.00,Gdañsk,2.00,347004.00,1.00,2.00,1
K,M,4.00,5.00,80.00,172032.00,2.00,5.00,Szczecin,1.00,188160.00,1.00,4.00,1
K,M,5.00,5.00,110.00,739200.00,5.00,5.00,£ódŸ,2.00,1016400.00,1.00,1.00,1
W,M,5.00,1.00,90.00,6048.00,4.00,7.00,Gdañsk,2.00,9072.00,3.00,0.00,1
K,M,4.00,2.00,80.00,154828.80,2.00,4.00,Warszawa,1.00,184934.40,0.00,0.00,1
K,M,5.00,4.00,105.00,1137780.00,5.00,6.00,Kraków,2.00,1323000.00,4.00,3.00,1
K,M,2.00,4.00,44.00,94617.60,4.00,9.00,Poznañ,0.00,104079.36,0.00,0.00,1
W,M,5.00,4.00,110.00,33264.00,3.00,10.00,Szczecin,4.00,44352.00,2.00,3.00,1
W,M,5.00,5.00,100.00,42000.00,5.00,7.00,Gdañsk,3.00,84000.00,1.00,2.00,1
W,M,3.00,4.00,54.00,8709.12,4.00,8.00,Bia³ystok,2.00,13063.68,2.00,0.00,1
K,M,3.00,5.00,63.00,400075.20,4.00,10.00,Wroc³aw,2.00,428652.00,0.00,0.00,1
K,M,5.00,5.00,100.00,142800.00,1.00,1.00,Szczecin,1.00,193200.00,0.00,4.00,1
K,M,4.00,4.00,84.00,334623.74,3.00,9.00,Bia³ystok,1.00,352235.52,2.00,2.00,1
K,M,4.00,4.00,76.00,183859.20,3.00,7.00,Bydgoszcz,1.00,275788.80,2.00,3.00,1
W,M,4.00,1.00,72.00,1451.52,1.00,4.00,Kraków,0.00,1935.36,0.00,0.00,1
K,M,5.00,4.00,105.00,698544.00,4.00,8.00,Kraków,1.00,762048.00,1.00,1.00,1
